route,routeType,cluster,score,claimCount,evidenceBackedClaimCount,evidenceRatio,actionableSentenceRatio,repetitionSimilarityMax,repetitionPeerRoute,criticalCount,bullshitCount,shitCount,fuckOffCount
/security/non-technical/journalist-submission-hygiene,article,security,100.00,0,0,1.0000,0.4167,0.0000,,0,0,0,0
/security/non-technical/office-worker-secure-sharing,article,security,100.00,0,0,1.0000,0.4615,0.0000,,0,0,0,0
/security/non-technical/redaction-pitfalls,article,security,100.00,0,0,1.0000,0.3846,0.0000,,0,0,0,0
/security/non-technical/safe-pdf-handling-basics,article,security,100.00,0,0,1.0000,0.5385,0.0000,,0,0,0,0
/security/non-technical/whistleblower-quickstart,article,security,90.00,1,0,0.0000,0.2857,0.0000,,0,1,0,2
/security/policy,article,security,92.00,1,0,0.0000,0.4286,0.0000,,0,1,0,0
/security/technical/endpoint-and-browser-leakage-model,article,security,100.00,0,0,1.0000,0.2000,0.0000,,0,0,0,0
/security/technical/evidence-handling-chain,article,security,100.00,0,0,1.0000,0.3846,0.0000,,0,0,0,0
/security/technical/metadata-forensic-traces,article,security,100.00,0,0,1.0000,0.4615,0.0000,,0,0,0,0
/security/technical/network-model-limits,article,security,100.00,0,0,1.0000,0.3077,0.0000,,0,0,0,0
/security/technical/reproducible-build-verification-basics,article,security,100.00,0,0,1.0000,0.4615,0.0000,,0,0,0,0
/security/technical/threat-modeling-workflow,article,security,100.00,0,0,1.0000,0.2727,0.0000,,0,0,0,0
/sitemap,support,support,100.00,0,0,1.0000,0.0000,0.0000,,0,0,0,0
/status,support,support,100.00,0,0,1.0000,0.7500,0.0000,,0,0,0,0
/terms,policy,core,100.00,0,0,1.0000,0.4444,0.0000,,0,0,0,0
/tools,transactional,tools-app,84.00,2,1,0.5000,0.8723,0.0000,,0,2,0,0
/tools/compress,transactional,tools-app,100.00,0,0,1.0000,1.0000,0.0000,,0,0,0,0
/tools/editor,transactional,tools-app,100.00,0,0,1.0000,1.0000,0.0000,,0,0,0,0
/tools/image-to-pdf,transactional,tools-app,100.00,0,0,1.0000,0.7500,0.0000,,0,0,0,0
/tools/merge,transactional,tools-app,100.00,0,0,1.0000,0.6667,0.0000,,0,0,0,0
/tools/page-numbers,transactional,tools-app,100.00,0,0,1.0000,1.0000,0.0000,,0,0,0,0
/tools/pdf-to-image,transactional,tools-app,92.00,0,0,1.0000,1.0000,0.0000,,0,1,0,0
/tools/protect,transactional,tools-app,100.00,0,0,1.0000,0.8571,0.0000,,0,0,0,0
/tools/remove-pages,transactional,tools-app,100.00,0,0,1.0000,1.0000,0.0000,,0,0,0,0
/tools/split,transactional,tools-app,100.00,0,0,1.0000,1.0000,0.0000,,0,0,0,0
/tools/unlock,transactional,tools-app,100.00,0,0,1.0000,0.8889,0.0000,,0,0,0,0
/tools/watermark,transactional,tools-app,100.00,0,0,1.0000,1.0000,0.0000,,0,0,0,0
